epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1834.75,0.86434,0.34818,1.05088,0.98872,0.98502,0.99413,0.77223,0.93325,0.29777,1.08293,0.002575,0.002575,0.002575
77,2759.14,0.85806,0.34471,1.04772,0.98892,0.98459,0.99413,0.77219,0.93303,0.2976,1.08284,0.002476,0.002476,0.002476
78,3678.84,0.85828,0.34542,1.04271,0.98907,0.98481,0.99413,0.77238,0.93282,0.29734,1.08263,0.002377,0.002377,0.002377
79,4599.88,0.85639,0.34454,1.04275,0.98893,0.98501,0.99413,0.77267,0.93257,0.29719,1.08242,0.002278,0.002278,0.002278
80,923.561,0.8382,0.3326,1.03863,0.98872,0.98502,0.99415,0.77305,0.93236,0.29719,1.08238,0.002179,0.002179,0.002179
81,1857.12,0.85116,0.3411,1.04022,0.98841,0.98502,0.99415,0.77306,0.93209,0.29695,1.08224,0.00208,0.00208,0.00208
82,2791.27,0.84609,0.33742,1.03898,0.98851,0.98493,0.99416,0.77312,0.93166,0.29681,1.08202,0.001981,0.001981,0.001981
83,3720.21,0.84896,0.33686,1.03744,0.98854,0.98481,0.99413,0.77306,0.93154,0.29692,1.08177,0.001882,0.001882,0.001882
84,4648.38,0.84583,0.33666,1.03805,0.98859,0.98481,0.99413,0.77265,0.93145,0.29681,1.08164,0.001783,0.001783,0.001783
85,5575.98,0.84784,0.33478,1.03928,0.9883,0.98488,0.99412,0.77271,0.9313,0.29686,1.08159,0.001684,0.001684,0.001684
86,6503.56,0.84723,0.3363,1.03667,0.98812,0.98481,0.99412,0.77307,0.93097,0.29684,1.08138,0.001585,0.001585,0.001585
87,7432.35,0.84404,0.33541,1.03838,0.98871,0.98424,0.99413,0.77332,0.93086,0.29662,1.08124,0.001486,0.001486,0.001486
88,8361.59,0.84188,0.33175,1.03699,0.98896,0.98356,0.99413,0.77328,0.93062,0.29639,1.08115,0.001387,0.001387,0.001387
89,9290.35,0.83878,0.33181,1.03486,0.98878,0.98356,0.99412,0.77324,0.93016,0.29599,1.08097,0.001288,0.001288,0.001288
90,904.129,0.81471,0.32013,1.02755,0.98893,0.98356,0.99413,0.77325,0.93054,0.29617,1.08109,0.001189,0.001189,0.001189
91,1812.89,0.87641,0.30577,1.06978,0.98865,0.98335,0.99412,0.77363,0.93019,0.29617,1.0809,0.00109,0.00109,0.00109
92,2725.25,0.86773,0.30353,1.07061,0.98859,0.98356,0.99411,0.77364,0.92999,0.29619,1.08079,0.000991,0.000991,0.000991
93,3634.25,0.85976,0.30003,1.06599,0.98946,0.98335,0.99412,0.77401,0.92959,0.29603,1.08055,0.000892,0.000892,0.000892
94,4542.72,0.85272,0.29747,1.06256,0.98991,0.98335,0.99413,0.77379,0.92916,0.29594,1.08033,0.000793,0.000793,0.000793
95,5450.81,0.85233,0.29727,1.06127,0.98996,0.98335,0.99413,0.77414,0.92872,0.29567,1.08019,0.000694,0.000694,0.000694
96,6359.22,0.84428,0.29485,1.05838,0.98992,0.98335,0.99409,0.77462,0.92816,0.29567,1.07996,0.000595,0.000595,0.000595
97,7267.33,0.8416,0.29106,1.05419,0.99023,0.98335,0.99409,0.77504,0.92772,0.2955,1.07976,0.000496,0.000496,0.000496
98,8176.09,0.8397,0.28974,1.05223,0.99047,0.98335,0.9941,0.77497,0.92727,0.29537,1.07943,0.000397,0.000397,0.000397
99,9083.6,0.83313,0.28809,1.05137,0.99056,0.98335,0.9941,0.77485,0.92682,0.29505,1.07919,0.000298,0.000298,0.000298
100,9990.94,0.83013,0.28668,1.0495,0.98974,0.98352,0.99408,0.77502,0.9264,0.29483,1.07892,0.000199,0.000199,0.000199
